concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_CashAndCashEquivalents,29195,29195000000,"29,195,000,000",c-41,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,22,instant,,2022-12-31,,,,,,f-725
ifrs-full_CashAndCashEquivalents,30681,30681000000,"30,681,000,000",c-58,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,22,instant,,2021-12-31,,,,,,f-726
ifrs-full_CashAndCashEquivalents,33030,33030000000,"33,030,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,22,instant,,2023-12-31,,,,,,f-728
ifrs-full_CashAndCashEquivalents,29195,29195000000,"29,195,000,000",c-41,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,22,instant,,2022-12-31,,,,,,f-729
ifrs-full_CurrentAssetsOtherThanAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,98753,98753000000,"98,753,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,23,instant,,2024-12-31,,,,,,f-536
ifrs-full_CurrentAssetsOtherThanAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,103995,103995000000,"103,995,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,23,instant,,2023-12-31,,,,,,f-537
ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,4081,4081000000,"4,081,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,24,instant,,2024-12-31,,,,,,f-538
ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,151,151000000,"151,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,24,instant,,2023-12-31,,,,,,f-539
ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,4081,4081000000,"4,081,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,24,instant,,2024-12-31,,,,,,f-767
ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,151,151000000,"151,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,24,instant,,2023-12-31,,,,,,f-768
ifrs-full_CurrentAssets,102834,102834000000,"102,834,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,25,instant,,2024-12-31,,,,,,f-540
ifrs-full_CurrentAssets,104146,104146000000,"104,146,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,25,instant,,2023-12-31,,,,,,f-541
ifrs-full_Assets,282228,282228000000,"282,228,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,26,instant,,2024-12-31,,,,,,f-542
ifrs-full_Assets,280294,280294000000,"280,294,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,26,instant,,2023-12-31,,,,,,f-543
ifrs-full_TradeAndOtherCurrentPayables,58411,58411000000,"58,411,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,27,instant,,2024-12-31,,,,,,f-544
ifrs-full_TradeAndOtherCurrentPayables,61155,61155000000,"61,155,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,27,instant,,2023-12-31,,,,,,f-545
ifrs-full_CurrentDerivativeFinancialLiabilities,4347,4347000000,"4,347,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,28,instant,,2024-12-31,,,,,,f-546
ifrs-full_CurrentDerivativeFinancialLiabilities,5250,5250000000,"5,250,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,28,instant,,2023-12-31,,,,,,f-547
ifrs-full_AccrualsClassifiedAsCurrent,6071,6071000000,"6,071,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,29,instant,,2024-12-31,,,,,,f-548
ifrs-full_AccrualsClassifiedAsCurrent,6527,6527000000,"6,527,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,29,instant,,2023-12-31,,,,,,f-549
ifrs-full_IntangibleAssetsOtherThanGoodwill,9646,9646000000,"9,646,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,3,instant,,2024-12-31,,,,,,f-496
ifrs-full_IntangibleAssetsOtherThanGoodwill,9991,9991000000,"9,991,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,3,instant,,2023-12-31,,,,,,f-497
ifrs-full_CurrentLeaseLiabilities,2660,2660000000,"2,660,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,30,instant,,2024-12-31,,,,,,f-550
ifrs-full_CurrentLeaseLiabilities,2650,2650000000,"2,650,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,30,instant,,2023-12-31,,,,,,f-551
ifrs-full_ShorttermBorrowings,4474,4474000000,"4,474,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,31,instant,,2024-12-31,,,,,,f-552
ifrs-full_ShorttermBorrowings,3284,3284000000,"3,284,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,31,instant,,2023-12-31,,,,,,f-553
ifrs-full_CurrentTaxLiabilities,1573,1573000000,"1,573,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,32,instant,,2024-12-31,,,,,,f-554
ifrs-full_CurrentTaxLiabilities,2732,2732000000,"2,732,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,32,instant,,2023-12-31,,,,,,f-555
ifrs-full_CurrentProvisions,3600,3600000000,"3,600,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,33,instant,,2024-12-31,,,,,,f-556
ifrs-full_CurrentProvisions,4418,4418000000,"4,418,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,33,instant,,2023-12-31,,,,,,f-557
ifrs-full_CurrentLiabilitiesOtherThanLiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,81136,81136000000,"81,136,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,34,instant,,2024-12-31,,,,,,f-558
ifrs-full_CurrentLiabilitiesOtherThanLiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,86016,86016000000,"86,016,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,34,instant,,2023-12-31,,,,,,f-559
ifrs-full_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,1105,1105000000,"1,105,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,35,instant,,2024-12-31,,,,,,f-560
ifrs-full_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,62,62000000,"62,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,35,instant,,2023-12-31,,,,,,f-561
ifrs-full_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,1105,1105000000,"1,105,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,35,instant,,2024-12-31,,,,,,f-769
ifrs-full_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,62,62000000,"62,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,35,instant,,2023-12-31,,,,,,f-770
ifrs-full_CurrentLiabilities,82241,82241000000,"82,241,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,36,instant,,2024-12-31,,,,,,f-562
ifrs-full_CurrentLiabilities,86078,86078000000,"86,078,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,36,instant,,2023-12-31,,,,,,f-563
ifrs-full_OtherNoncurrentPayables,9409,9409000000,"9,409,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,37,instant,,2024-12-31,,,,,,f-564
ifrs-full_OtherNoncurrentPayables,10076,10076000000,"10,076,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,37,instant,,2023-12-31,,,,,,f-565
ifrs-full_NoncurrentDerivativeFinancialLiabilities,18532,18532000000,"18,532,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,38,instant,,2024-12-31,,,,,,f-566
ifrs-full_NoncurrentDerivativeFinancialLiabilities,10402,10402000000,"10,402,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,38,instant,,2023-12-31,,,,,,f-567
ifrs-full_AccrualsClassifiedAsNoncurrent,1326,1326000000,"1,326,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,39,instant,,2024-12-31,,,,,,f-568
ifrs-full_AccrualsClassifiedAsNoncurrent,1310,1310000000,"1,310,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,39,instant,,2023-12-31,,,,,,f-569
ifrs-full_InvestmentsInJointVentures,12291,12291000000,"12,291,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,4,instant,,2024-12-31,,,,,,f-498
ifrs-full_InvestmentsInJointVentures,12435,12435000000,"12,435,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,4,instant,,2023-12-31,,,,,,f-499
ifrs-full_NoncurrentLeaseLiabilities,9340,9340000000,"9,340,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,40,instant,,2024-12-31,,,,,,f-570
ifrs-full_NoncurrentLeaseLiabilities,8471,8471000000,"8,471,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,40,instant,,2023-12-31,,,,,,f-571
ifrs-full_LongtermBorrowings,55073,55073000000,"55,073,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,41,instant,,2024-12-31,,,,,,f-572
ifrs-full_LongtermBorrowings,48670,48670000000,"48,670,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,41,instant,,2023-12-31,,,,,,f-573
ifrs-full_DeferredTaxLiabilities,8428,8428000000,"8,428,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,42,instant,,2024-12-31,,,,,,f-574
ifrs-full_DeferredTaxLiabilities,9617,9617000000,"9,617,000,000",c-15,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,42,instant,,2023-12-31,,,,,,f-575
