concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_ProfitLoss,1229,1229000000,"1,229,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-57
ifrs-full_ProfitLoss,15880,15880000000,"15,880,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-58
ifrs-full_ProfitLoss,1357,1357000000,"1,357,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-59
ifrs-full_ProfitLoss,1229,1229000000,"1,229,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-66
ifrs-full_ProfitLoss,15880,15880000000,"15,880,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-67
ifrs-full_ProfitLoss,1357,1357000000,"1,357,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-68
ifrs-full_ProfitLoss,1229,1229000000,"1,229,000,000",c-1,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-81
ifrs-full_ProfitLoss,15880,15880000000,"15,880,000,000",c-2,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-82
ifrs-full_ProfitLoss,1357,1357000000,"1,357,000,000",c-3,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-83
ifrs-full_ProfitLoss,—,—,—,c-16,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-150
ifrs-full_ProfitLoss,—,—,—,c-17,u-1,-6,1000000,2,ifrs-full_ProfitLossAbstract,19,instant,,,,,,,,f-151
