concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_TradeAndOtherCurrentPayables,1 036 4,1 036 4,1 036 4,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,22,instant,,2025-02-22,,,,,,fact-201
ifrs-full_TradeAndOtherCurrentPayables,10 264,10 264,10 264,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,22,instant,,2024-02-24,,,,,,fact-202
ifrs-full_ShorttermBorrowings,1861,1861000000,"1,861,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,23,instant,,2025-02-22,,,,,,fact-203
ifrs-full_ShorttermBorrowings,1 536,1 536,1 536,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,23,instant,,2024-02-24,,,,,,fact-204
ifrs-full_CurrentLeaseLiabilities,61 8,61 8,61 8,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,24,instant,,2025-02-22,,,,,,fact-205
ifrs-full_CurrentLeaseLiabilities,5 84,5 84,5 84,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,24,instant,,2024-02-24,,,,,,fact-206
ifrs-full_OtherShorttermProvisions,30 0,30 0,30 0,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,25,instant,,2025-02-22,,,,,,fact-207
ifrs-full_OtherShorttermProvisions,3 06,3 06,3 06,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,25,instant,,2024-02-24,,,,,,fact-208
ifrs-full_InsuranceContractsIssuedThatAreLiabilities,6 52,6 52,6 52,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,26,instant,,2025-02-22,,,,,,fact-209
ifrs-full_InsuranceContractsIssuedThatAreLiabilities,526,526000000,"526,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,26,instant,,2024-02-24,,,,,,fact-210
tescoplc_CurrentDepositsFromBanks,-,-,-,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,27,instant,,2025-02-22,,,,,,fact-211
tescoplc_CurrentDepositsFromBanks,10 8,10 8,10 8,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,27,instant,,2024-02-24,,,,,,fact-212
ifrs-full_CurrentDerivativeFinancialLiabilities,12,12000000,"12,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,28,instant,,2025-02-22,,,,,,fact-213
ifrs-full_CurrentDerivativeFinancialLiabilities,25,25000000,"25,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,28,instant,,2024-02-24,,,,,,fact-214
ifrs-full_CurrentTaxLiabilities,13,13000000,"13,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,29,instant,,2025-02-22,,,,,,fact-215
ifrs-full_CurrentTaxLiabilities,1,1000000,"1,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,29,instant,,2024-02-24,,,,,,fact-216
ifrs-full_InvestmentProperty,24,24000000,"24,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,3,instant,,2025-02-22,,,,,,fact-163
ifrs-full_InvestmentProperty,24,24000000,"24,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,3,instant,,2024-02-24,,,,,,fact-164
ifrs-full_CurrentLiabilitiesOtherThanLiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,13 820,13 820,13 820,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,30,instant,,2025-02-22,,,,,,fact-217
ifrs-full_CurrentLiabilitiesOtherThanLiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,13350,13350000000,"13,350,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,30,instant,,2024-02-24,,,,,,fact-218
ifrs-full_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,-,-,-,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,31,instant,,2025-02-22,,,,,,fact-219
ifrs-full_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,71 2 2,71 2 2,71 2 2,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,31,instant,,2024-02-24,,,,,,fact-220
ifrs-full_CurrentAssetsLiabilities,49 6 4,49 6 4,49 6 4,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,32,instant,,2025-02-22,,,,,,fact-221
ifrs-full_CurrentAssetsLiabilities,3866,3866000000,"3,866,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,32,instant,,2024-02-24,,,,,,fact-222
ifrs-full_NoncurrentPayables,40,40000000,"40,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,33,instant,,2025-02-22,,,,,,fact-223
ifrs-full_NoncurrentPayables,39,39000000,"39,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,33,instant,,2024-02-24,,,,,,fact-224
ifrs-full_LongtermBorrowings,5 089,5 089,5 089,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,34,instant,,2025-02-22,,,,,,fact-225
ifrs-full_LongtermBorrowings,5 68 3,5 68 3,5 68 3,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,34,instant,,2024-02-24,,,,,,fact-226
ifrs-full_NoncurrentLeaseLiabilities,7 0 9 8,7 0 9 8,7 0 9 8,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,35,instant,,2025-02-22,,,,,,fact-227
ifrs-full_NoncurrentLeaseLiabilities,7 0 3 8,7 0 3 8,7 0 3 8,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,35,instant,,2024-02-24,,,,,,fact-228
ifrs-full_OtherLongtermProvisions,16 6,16 6,16 6,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,36,instant,,2025-02-22,,,,,,fact-229
ifrs-full_OtherLongtermProvisions,175,175000000,"175,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,36,instant,,2024-02-24,,,,,,fact-230
tescoplc_NonCurrentDepositsFromBanks,-,-,-,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,37,instant,,2025-02-22,,,,,,fact-231
tescoplc_NonCurrentDepositsFromBanks,800,800000000,"800,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,37,instant,,2024-02-24,,,,,,fact-232
ifrs-full_NoncurrentDerivativeFinancialLiabilities,205,205000000,"205,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,38,instant,,2025-02-22,,,,,,fact-233
ifrs-full_NoncurrentDerivativeFinancialLiabilities,241,241000000,"241,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,38,instant,,2024-02-24,,,,,,fact-234
ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,3 07,3 07,3 07,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,39,instant,,2025-02-22,,,,,,fact-235
ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,657,657000000,"657,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,39,instant,,2024-02-24,,,,,,fact-236
ifrs-full_InvestmentAccountedForUsingEquityMethod,11 0,11 0,11 0,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,4,instant,,2025-02-22,,,,,,fact-165
ifrs-full_InvestmentAccountedForUsingEquityMethod,1 02,1 02,1 02,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,4,instant,,2024-02-24,,,,,,fact-166
ifrs-full_DeferredTaxLiabilities,503,503000000,"503,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,40,instant,,2025-02-22,,,,,,fact-237
ifrs-full_DeferredTaxLiabilities,26 9,26 9,26 9,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,40,instant,,2024-02-24,,,,,,fact-238
ifrs-full_NoncurrentLiabilities,13408,13408000000,"13,408,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,41,instant,,2025-02-22,,,,,,fact-239
ifrs-full_NoncurrentLiabilities,1 4 902,1 4 902,1 4 902,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,41,instant,,2024-02-24,,,,,,fact-240
ifrs-full_NetAssetsLiabilities,11662,11662000000,"11,662,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,42,instant,,2025-02-22,,,,,,fact-241
ifrs-full_NetAssetsLiabilities,11 665,11 665,11 665,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,42,instant,,2024-02-24,,,,,,fact-242
ifrs-full_IssuedCapital,426,426000000,"426,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,43,instant,,2025-02-22,,,,,,fact-243
